subject	block	left_stim	right_stim	stim_chosen	instruct	reward
ss_42	1	1	2	2	sit	true
ss_42	1	2	1	1	stand	false
ss_42	1	2	1	1	stand	false
ss_42	1	2	1	2	stand	true
ss_42	1	1	2	2	sit	true
ss_42	1	2	1	2	sit	false
ss_42	1	1	2	2	sit	false
ss_42	1	2	1	2	sit	false
ss_42	1	1	2	2	stand	true
ss_42	1	2	1	2	stand	false
ss_42	1	1	2	1	stand	false
ss_42	1	1	2	1	sit	true
ss_42	1	2	1	1	sit	false
ss_42	1	1	2	2	sit	true
ss_42	1	1	2	2	sit	false
ss_42	1	1	2	2	sit	true
ss_42	1	2	1	1	sit	true
ss_42	1	2	1	1	stand	true
ss_42	1	1	2	2	sit	false
ss_42	1	2	1	1	sit	true
ss_42	1	2	1	2	stand	false
ss_42	1	1	2	1	stand	false
ss_42	1	1	2	1	sit	true
ss_42	1	1	2	1	stand	true
ss_42	1	2	1	1	stand	true
ss_42	1	2	1	1	sit	true
ss_42	1	1	2	1	sit	false
ss_42	1	2	1	1	stand	true
ss_42	1	2	1	1	stand	true
ss_42	1	1	2	1	stand	false
ss_42	1	1	2	1	stand	false
ss_42	1	1	2	1	stand	false
ss_42	1	2	1	1	stand	true
ss_42	1	1	2	2	sit	true
ss_42	1	1	2	1	sit	true
ss_42	1	1	2	1	stand	true
ss_42	1	1	2	1	stand	false
ss_42	1	1	2	1	stand	true
ss_42	1	1	2	1	stand	false
ss_42	1	2	1	1	stand	true
ss_42	1	1	2	2	sit	true
ss_42	1	1	2	2	sit	false
ss_42	1	1	2	1	stand	true
ss_42	1	2	1	1	stand	false
ss_42	1	2	1	1	stand	false
ss_42	1	1	2	1	stand	false
ss_42	1	1	2	1	sit	true
ss_42	1	2	1	1	sit	false
ss_42	1	1	2	1	stand	true
ss_42	1	1	2	1	stand	false
ss_42	1	2	1	1	stand	false
ss_42	1	1	2	2	stand	false
ss_42	1	1	2	2	sit	false
ss_42	1	1	2	1	stand	false
ss_42	1	2	1	1	sit	true
